ts,cmc_total_mcap_usd,cmc_total_vol_24h_usd,cmc_btc_mcap_usd,cmc_eth_mcap_usd,cmc_btc_dominance,cmc_eth_dominance,cmc_total_mcap_usd_ret1,cmc_total_mcap_usd_ret7,cmc_total_mcap_usd_ret30,cmc_btc_mcap_usd_ret1,cmc_btc_mcap_usd_ret7,cmc_btc_mcap_usd_ret30,cmc_eth_mcap_usd_ret1,cmc_eth_mcap_usd_ret7,cmc_eth_mcap_usd_ret30,mc_z_30,btc_dom_z_30,mcap_vol_ratio_total,mcap_vol_ratio_btc,mcap_vol_ratio_eth
2013-04-28,1580539630.351213,0.0,,,,,,,,,,,,,,,,1.5805396303512128e+18,,
2013-04-29,1698608513.6396577,0.0,,,,,0.07204306757724076,,,,,,,,,,,1.6986085136396577e+18,,
2013-04-30,1636299366.525457,0.0,,,,,-0.03737218618794234,,,,,,,,,,,1.636299366525457e+18,,
2013-05-01,1380824808.4991305,0.0,,,,,-0.16975620037085326,,,,,,,,,,,1.3808248084991304e+18,,
2013-05-02,1241135061.6346989,0.0,,,,,-0.10665467473812543,,,,,,,,,,,1.2411350616346988e+18,,
2013-05-03,1156926294.6338189,0.0,,,,,-0.07025959088304876,,,,,,,,,,,1.156926294633819e+18,,
2013-05-04,1330674614.2240584,0.0,,,,,0.1399193000543191,,,,,,,,,,,1.3306746142240584e+18,,
2013-05-05,1370199003.402387,0.0,,,,,0.029269944872522262,-0.14281033967588763,,,,,,,,,,1.370199003402387e+18,,
2013-05-06,1323401678.495394,0.0,,,,,-0.03475053633351336,-0.2496039435866417,,,,,,,,,,1.3234016784953938e+18,,
2013-05-07,1314468613.2678895,0.0,,,,,-0.006772963328993838,-0.21900472072769328,,,,,,,,,,1.3144686132678894e+18,,
2013-05-08,1342001101.0407736,0.0,,,,,0.020729371410266473,-0.028519148946573557,,,,,,,,,,1.3420011010407736e+18,,
2013-05-09,1332175943.8587976,0.0,,,,,-0.0073482056176579665,0.07078732017389387,,,,,,,,,,1.3321759438587976e+18,,
2013-05-10,1383501354.0406163,0.0,,,,,0.03780384557182409,0.17885075662876682,,,,,,,,,,1.3835013540406162e+18,,
2013-05-11,1358361318.2530987,0.0,,,,,-0.01833843874358079,0.02059301783086702,,,,,,,,,,1.3583613182530988e+18,,
2013-05-12,1354369538.8846614,0.0,,,,,-0.002942999110347828,-0.011619926152003093,,,,,,,,,,1.3543695388846612e+18,,
2013-05-13,1388796030.747915,0.0,,,,,0.025101145778387072,0.04823175595989724,,,,,,,,,,1.388796030747915e+18,,
2013-05-14,1307693237.7206645,0.0,,,,,-0.06017250908286681,-0.005167789793975731,,,,,,,,,,1.3076932377206643e+18,,
2013-05-15,1340751049.900362,0.0,,,,,0.02496524415745701,-0.0009319170467852277,,,,,,,,,,1.340751049900362e+18,,
2013-05-16,1391288160.0636275,0.0,,,,,0.037000109898583974,0.04341639846945677,,,,,,,,,,1.3912881600636275e+18,,
2013-05-17,1444271325.6474388,0.0,,,,,0.03737486961908289,0.042987422516715265,,,,,,,,,,1.4442713256474386e+18,,
2013-05-18,1451545545.8650696,0.0,,,,,0.005023961003477683,0.06634982226377394,,,,,,,,,,1.4515455458650696e+18,,
2013-05-19,1436193993.885769,0.0,,,,,-0.010632327734204909,0.05866049363991685,,,,,,,,,,1.4361939938857687e+18,,
2013-05-20,1435368391.0089881,0.0,,,,,-0.0005750199987799743,0.03298432786274981,,,,,,,,,,1.4353683910089882e+18,,
2013-05-21,1444525070.7986374,0.0,,,,,0.006359062074549403,0.09951589902016586,,,,,,,,,,1.4445250707986373e+18,,
2013-05-22,1456655013.1488068,0.0,,,,,0.00836212346796316,0.08291277833067193,,,,,,,,,,1.4566550131488067e+18,,
2013-05-23,1490045838.1414294,0.0,,,,,0.022664163056767897,0.06857683148885592,,,,,,,,,,1.4900458381414292e+18,,
2013-05-24,1563177754.4428654,0.0,,,,,0.047913888086467994,0.07911584995624113,,,,,,,,,,1.5631777544428652e+18,,
2013-05-25,1548618888.8198419,0.0,,,,,-0.00935727717550228,0.06473461177726117,,,,,,,,,,1.5486188888198418e+18,,
2013-05-26,1567802504.6506526,0.0,,,,,0.012311466080267,0.08767840559173318,,,,,,,,,,1.5678025046506527e+18,,
2013-05-27,1523447873.9589744,0.0,,,,,-0.02869885613469641,0.0595545694558168,,,,,,,,0.8757621018987735,,1.5234478739589742e+18,,
2013-05-28,1515775151.6946104,0.0,,,,,-0.005049144797998499,0.04814636258326886,-0.04183936752893583,,,,,,,0.8468359742687085,,1.5157751516946102e+18,,
2013-05-29,1552910642.316472,0.0,,,,,0.02420404436203937,0.06398828347734531,-0.08967839074413708,,,,,,,1.3173546469173218,,1.552910642316472e+18,,
2013-05-30,1510665038.730978,0.0,,,,,-0.027581026888317775,0.01374309353225964,-0.07988723144451246,,,,,,,1.0256449891479607,,1.5106650387309778e+18,,
2013-05-31,1513130847.0580444,0.0,,,,,0.0016309360596941894,-0.03253985849451418,0.09149990498603489,,,,,,,0.9897479103476678,,1.5131308470580444e+18,,
2013-06-01,1514947375.515171,0.0,,,,,0.00119978979505361,-0.02198279152395835,0.1993543695192139,,,,,,,0.9528818526515687,,1.514947375515171e+18,,
2013-06-02,1434404291.980768,0.0,,,,,-0.05463106724172695,-0.08892532484595231,0.2149828931605359,,,,,,,0.03628893357504993,,1.434404291980768e+18,,
2013-06-03,1434271532.5607052,0.0,,,,,-9.255798025123819e-05,-0.06031902669150716,0.07497103512596566,,,,,,,-0.006808495333175808,,1.434271532560705e+18,,
