timestamp,symbol,price,pct_1h,pct_24h,pct_7d,market_cap,volume_24h
2025-11-11 15:00:00+00:00,BTC,104193.18479850743,-0.12606545,-0.94831516,-0.15657158,2078379487688.279,72682686077.38982
2025-11-11 15:00:00+00:00,XAN,0.03492782571808975,0.25441096,-11.94555603,24.2995874,87319564.29522437,35600481.68622267
2025-11-11 15:00:00+00:00,ORCA,1.4692881858151474,1.13861397,-1.69531281,6.99628559,88388266.59793027,9207193.60398252
2025-11-11 15:00:00+00:00,WAVES,0.7438179270895912,0.20821104,0.8896492,9.90069909,88746334.59802815,17278315.47640136
2025-11-11 15:00:00+00:00,ICX,0.08297347141626553,0.76481027,0.92266368,12.13234222,89601384.14889449,3215788.10900796
2025-11-11 15:00:00+00:00,UMA,1.0159598324814345,0.9564003,-4.10993566,2.57610611,89670142.0715523,15984042.76294067
2025-11-11 15:00:00+00:00,YU,0.9992232244116465,-0.02089657,0.00139937,-0.06487437,89729199.17871803,198266.38146422
2025-11-11 15:00:00+00:00,KUB,1.3118803114044755,-0.69578372,-0.79493981,1.83546042,90486650.61793394,294501.45256269
2025-11-11 15:00:00+00:00,XYO,0.006663747460675465,-0.0811892,-2.01645677,4.7453452,90994705.88890025,10516331.92286469
2025-11-11 15:00:00+00:00,MNEE,0.9992186656022015,0.0573256,0.06826689,0.20482532,91274175.2755828,100738.57030631
2025-11-11 15:00:00+00:00,LUCIC,0.5571594866856758,-0.4222454,-5.16340585,-6.03014865,91432877.64055008,439606.4150466
2025-11-11 15:00:00+00:00,SNT,0.019050323147200898,-0.54102019,2.80642696,15.04634163,91387482.7467366,11014633.28844372
2025-11-11 15:00:00+00:00,QRL,1.349571541213374,-0.87644729,-4.60667485,-7.72220561,91686071.222575,72732.42622313
2025-11-11 15:00:00+00:00,VANA,3.0536222065746013,2.33177761,1.41325226,7.5471575,91865170.4625903,14394377.39647451
2025-11-11 15:00:00+00:00,NXPC,0.4173911733811817,1.90993964,10.30387337,30.24434458,92085649.57545032,32843173.72973433
2025-11-11 15:00:00+00:00,RED,0.31766669648435675,1.02550244,-3.84835524,8.80786902,92695846.3012014,20156121.87666668
2025-11-11 15:00:00+00:00,REAL,0.06763526601065212,-0.03131422,-2.40121563,-1.85054217,92933679.40626249,22343274.59079757
2025-11-11 15:00:00+00:00,ETHW,0.8632543503090134,0.24891743,-2.38422735,11.18452402,93075219.97581546,9401666.0312422
2025-11-11 15:00:00+00:00,STG,0.14146538977958217,0.89267316,-0.39573938,15.85788497,93501743.32386422,4926697.14285045
2025-11-11 15:00:00+00:00,MOODENG,0.09523004081163479,0.83626739,-1.83230323,9.23855783,94275054.07548629,16820815.02566777
2025-11-11 15:00:00+00:00,MEME,0.0016161432056548443,1.32473825,-3.40842783,15.60914589,95187305.79776071,18576373.94287743
2025-11-11 15:00:00+00:00,EDU,0.16140242173640643,0.96901043,-2.72952914,0.2753277,96814606.33142675,9616925.44145937
2025-11-11 15:00:00+00:00,LRC,0.07217999538122187,5.40485269,11.29504664,16.28137533,98677656.04582183,38226536.41968323
2025-11-11 15:00:00+00:00,WHITE,0.00015297369043593815,0.24803179,-0.74636428,-9.41790303,99432898.7833598,334769.63208009
2025-11-11 15:00:00+00:00,HSK,0.3234934307149742,0.03279382,-1.56805717,7.40218813,99868894.84176771,4986486.82051674
2025-11-11 15:00:00+00:00,CFG,0.17751214181696878,-1.46054371,-6.27048843,12.27095841,100665116.06876555,3684948.14717312
2025-11-11 15:00:00+00:00,CSPR,0.007415166536985445,-0.02971046,-5.25619696,9.33157781,100690340.70900562,2071303.21919629
2025-11-11 15:00:00+00:00,GEMS,0.16848553333103694,-0.60514186,-3.71224215,4.7487956,100900124.46873897,635667.06566452
2025-11-11 15:00:00+00:00,FLUX,0.2181094744502073,4.99350328,25.10893854,125.91789408,86697038.72924648,59408421.03178462
2025-11-11 15:00:00+00:00,STIK,0.7753908371503871,-0.02293851,-2.28968827,-2.91076796,101684967.34839092,142472.68731901
2025-11-11 15:00:00+00:00,SOLO,0.21450395930150645,0.41002999,-2.64664533,-7.89643753,85539031.55685776,2730112.63247266
2025-11-11 15:00:00+00:00,ONE,0.005737454132807766,1.23793818,-1.17958925,13.59118043,84702683.45836218,8783049.55328124
2025-11-11 15:00:00+00:00,GMT,0.024238582307491704,1.16175996,0.63700047,7.70259846,75415928.75098634,19034907.04693715
2025-11-11 15:00:00+00:00,RLC,0.8672579223767998,1.38315371,-2.33069313,4.66784844,75451252.77491991,9234383.79118631
2025-11-11 15:00:00+00:00,SXP,0.11408441031316408,-1.12353066,-0.7027409,7.27556798,75512812.76468977,17437576.58244044
2025-11-11 15:00:00+00:00,UCN,1510.551316241796,-0.04371665,0.63180555,3.14596535,75527565.8120898,27240176.5260986
2025-11-11 15:00:00+00:00,XVS,4.649836277939494,0.88229239,-0.71218449,8.12624731,76030533.43530366,8438792.32283675
2025-11-11 15:00:00+00:00,EURCV,1.1596120314974026,-0.02889528,0.30128251,1.00137752,76251389.60292959,43934559.61686306
2025-11-11 15:00:00+00:00,BB,0.089952661707431,0.90735601,-1.78800966,-0.44635229,76779033.05266245,15939038.47494153
2025-11-11 15:00:00+00:00,ARKM,0.3435379365015743,2.1734195,-0.87734065,16.05876804,77330389.50650439,47548012.89731739
2025-11-11 15:00:00+00:00,SPK,0.039754472157992334,-1.00095518,-8.59229342,30.21033822,77829884.6584473,46361629.07541704
2025-11-11 15:00:00+00:00,PUNDIX,0.3075287686086411,0.77573085,-0.29020669,6.37745957,79461294.80950578,7651058.32260176
