symbol,timestamp,close,prob_1,threshold_used,pred,signal_live,take_signal,post_filter_reason,fwd_ret
BNBUSDT,2025-10-09 19:00:00+00:00,1241.46,0.38246660802026355,0.13,1,1,1,,0.0149420843200747
BTCUSDT,2025-10-09 19:00:00+00:00,120951.72,0.35527588270523713,0.13,1,1,1,,0.0058520870972318
DOTUSDT,2025-10-09 19:00:00+00:00,4.035,0.4760195523480217,0.13,1,1,1,,0.011895910780669
ETHUSDT,2025-10-09 19:00:00+00:00,4338.0,0.3947037051078474,0.13,1,1,1,,0.008409405255878
LTCUSDT,2025-10-09 19:00:00+00:00,119.01,0.342404458563524,0.13,1,1,1,,0.0789849592471221
SOLUSDT,2025-10-09 19:00:00+00:00,218.29,0.4027075093913101,0.13,1,1,1,,0.0122772458655917
